ID,AREA,DATA,MCD,COUNTY,NAME,MCD_NAME,TYPE,POP2000,POPULATION,HISPANIC_O,NH_WHT,NH_DOJ_BLK,NH_DOJ_IND,NH_DOJ_ASN,NH_DOJ_HWN,NH_DOJ_OTH,NH_DOJ_OT1,F18_POP_20,F18_POP,H18_POP,NH18_WHT,NH18_DOJ_B,NH18_DOJ_I,NH18_DOJ_A,NH18_DOJ_H,NH18_DOJ_O,NH18_DOJ_1,USSENGP02,USSENIP02,USSENR02,WELLSTONE,USSENDFL02,USSENCP02,USSENWI02,CONGGP02,CONGIP02,CONGR02,CONGDFL02,CONGNNT02,CONGWI02,MNSENGP02,MNSENIP02,MNSENR02,MNSENDFL02,MNSENCP02,MNSENICP02,MNSENWI02,MNLEGGP02,MNLEGIP02,MNLEGR02,MNLEGDFL02,MNLEGCP02,MNLEGGI02,MNLEGWI02,GOVGP02,GOVIP02,GOVR02,GOVDFL02,GOVCP02,GOVI02,GOVSW02,GOVWI02,SOSGP02,SOSIP02,SOSR02,SOSDFL02,SOSWI02,AGIP02,AGR02,AGDFL02,AGWI02,AUDGP02,AUDIP02,AUDR02,AUDDFL02,AUDWI02,USPRESGP04,USPRESR04,USPRESDFL0,USPRESSE04,USPRESSW04,USPRESCF04,USPRESBL04,USPRESC04,USPRESL04,USPRESWI04,USCONGI04,USCONGR04,USCONGDFL0,USCONGWI04,MNLEGI04,MNLEGR04,MNLEGDFL04,MNLEGWI04,USSENR06,USSENDFL06,USSENIP06,USSENWI06,GOVR06,GOVDFL06,GOVIP06,GOVWI06,AGR06,AGDFL06,AGIP06,AGWI06,SOSR06,SOSDFL06,SOSIP06,SOSWI06,AUDR06,AUDDFL06,AUDWI06,CONGR06,CONGDFL06,CONGIP06,CONGWI06,MNSENR06,MNSENDFL06,MNSENIP06,MNSENWI06,MNLEGR06,MNLEGDFL06,MNLEGIP06,MNLEGWI06,USPRESR08,USPRESDFL1,USPRESGP08,USPRESSWP0,USPRESIND0,USPRESLIB0,USPRESCP08,USPRESWI08,USSENIP08,USSENR08,USSENDFL08,USSENLIB08,USSENCP08,USSENWI08,CONGIP08,CONGR08,CONGDFL08,CONGWI08,MNLEGIP08,MNLEGR08,MNLEGDFL08,MNLEGWI08,CONGIP10,CONGR10,CONGDFL10,CONGWI10,MNSENIP10,MNSENR10,MNSENDFL10,MNSENWI10,MNLEGIP10,MNLEGR10,MNLEGDFL10,MNLEGWI10,GOVIP10,GOVR10,GOVDFL10,GOVGP10,GOVTRP10,GOVGR10,GOVEDP10,GOVWI10,SOSIP10,SOSR10,SOSDFL10,SOSWI10,AUDR10,AUDDFL10,AUDGP10,AUDGR10,AUDWI10,AGIP10,AGR10,AGDFL10,AGTRP10,AGWI10,DEM_INDEX,REP_INDEX,THIRD_INDE,INDEX_VOTE
1646001,2.98,859,2705354808,27053,Robbinsdale City,Robbinsdale,City,14142,13953,647,10395,2153,118,538,9,20,73,11067,10882,393,8631,1353,87,363,8,11,36,21.000,72.000,1566.000,7.000,1901.000,4.000,2.000,190.000,0.000,1274.000,2012.000,0.000,3.000,0.000,0.000,1342.000,2073.000,0.000,0.000,5.000,0.000,0.000,1443.000,1956.000,0.000,0.000,7.000,115.000,549.000,1430.000,1430.000,2.000,24.000,7.000,1.000,111.000,180.000,1476.000,1687.000,1.000,158.000,1285.000,2027.000,0.000,150.000,247.000,1331.000,1630.000,3.000,8.000,1627.000,2587.000,2.000,2.000,10.000,24.000,4.000,5.000,5.000,0.000,1356.000,2477.000,311.000,0.000,1416.000,2283.000,3.000,1738.000,4113.000,231.000,2.000,2230.000,3379.000,460.000,1.000,1877.000,3608.000,237.000,8.000,2022.000,3544.000,200.000,1.000,1823.000,3556.000,6.000,1766.000,2846.000,1264.000,8.000,1853.000,4064.000,0.000,11.000,1933.000,3971.000,0.000,10.000,2744.000,5478.000,14.000,1.000,88.000,34.000,22.000,0.000,1206.000,2652.000,4395.000,42.000,32.000,0.000,660.000,2260.000,4900.000,11.000,0.000,2471.000,5291.000,18.000,220.000,1880.000,3255.000,4.000,0.000,2056.000,3566.000,6.000,0.000,2091.000,3497.000,12.000,631.000,1858.000,3205.000,14.000,5.000,15.000,17.000,9.000,278.000,1885.000,3339.000,3.000,1929.000,3324.000,185.000,93.000,1.000,264.000,1710.000,3530.000,36.000,6.000,,,,
1826622,2.33,2715,2717155006,27171,Rockford City,Rockford,City,3423,3890,76,3601,70,43,79,7,6,8,2314,2750,43,2593,31,30,40,2,5,6,12.000,59.000,1056.000,0.000,582.000,3.000,2.000,0.000,153.000,1052.000,489.000,0.000,2.000,0.000,0.000,1032.000,635.000,0.000,0.000,6.000,0.000,0.000,712.000,732.000,0.000,0.000,205.000,29.000,274.000,982.000,434.000,3.000,8.000,2.000,0.000,25.000,96.000,996.000,577.000,3.000,83.000,901.000,698.000,0.000,54.000,130.000,919.000,555.000,2.000,2.000,1257.000,764.000,0.000,3.000,0.000,9.000,4.000,1.000,2.000,0.000,1200.000,825.000,0.000,0.000,1112.000,834.000,3.000,757.000,727.000,53.000,0.000,895.000,536.000,96.000,0.000,774.000,633.000,77.000,1.000,820.000,572.000,57.000,1.000,764.000,646.000,2.000,844.000,585.000,109.000,0.000,943.000,565.000,0.000,3.000,854.000,635.000,0.000,3.000,1081.000,893.000,5.000,0.000,21.000,17.000,8.000,0.000,405.000,939.000,650.000,14.000,10.000,0.000,290.000,917.000,787.000,0.000,0.000,1064.000,787.000,9.000,82.000,749.000,500.000,1.000,0.000,868.000,483.000,0.000,0.000,837.000,491.000,0.000,140.000,780.000,447.000,1.000,4.000,1.000,5.000,1.000,64.000,761.000,516.000,0.000,764.000,508.000,30.000,23.000,1.000,73.000,692.000,559.000,10.000,1.000,,,,
1844841,21.48,837,2705325622,27053,Greenfield City,Greenfield,City,2544,2777,41,2654,16,19,47,0,0,0,1685,1951,21,1873,8,14,35,0,0,0,3.000,17.000,804.000,1.000,296.000,0.000,0.000,0.000,0.000,844.000,253.000,0.000,1.000,0.000,0.000,735.000,330.000,0.000,0.000,1.000,0.000,141.000,678.000,244.000,0.000,0.000,0.000,10.000,153.000,738.000,205.000,5.000,2.000,0.000,1.000,14.000,61.000,732.000,283.000,0.000,34.000,672.000,385.000,0.000,22.000,81.000,681.000,282.000,0.000,0.000,1016.000,477.000,0.000,0.000,0.000,7.000,0.000,2.000,2.000,0.000,1131.000,329.000,4.000,0.000,837.000,322.000,2.000,723.000,529.000,36.000,0.000,887.000,342.000,61.000,0.000,772.000,411.000,39.000,1.000,794.000,370.000,33.000,0.000,731.000,417.000,1.000,970.000,303.000,0.000,0.000,811.000,414.000,0.000,0.000,866.000,387.000,0.000,0.000,1127.000,537.000,3.000,0.000,10.000,5.000,3.000,0.000,317.000,996.000,353.000,4.000,0.000,0.000,229.000,1039.000,363.000,0.000,0.000,1166.000,440.000,0.000,55.000,980.000,293.000,0.000,0.000,1035.000,0.000,18.000,0.000,1003.000,311.000,1.000,132.000,935.000,275.000,1.000,2.000,4.000,0.000,1.000,39.000,883.000,373.000,0.000,873.000,390.000,23.000,15.000,0.000,45.000,800.000,448.000,8.000,0.000,,,,
1634896,10.52,836,2705324308,27053,Golden Valley City,Golden Valley,City,20286,20371,538,17113,1594,111,852,7,45,111,16112,16316,332,14184,1041,81,583,7,28,60,45.000,150.000,5117.000,78.000,6707.000,9.000,6.000,457.000,0.000,4163.000,7131.000,0.000,8.000,158.000,173.000,4675.000,6629.000,0.000,0.000,5.000,231.000,0.000,5305.000,6110.000,0.000,0.000,13.000,254.000,1824.000,4541.000,5461.000,7.000,27.000,5.000,3.000,492.000,502.000,5242.000,5557.000,5.000,447.000,4362.000,7012.000,10.000,389.000,892.000,4680.000,5509.000,6.000,26.000,5140.000,8611.000,1.000,2.000,8.000,74.000,8.000,34.000,10.000,0.000,4423.000,8491.000,297.000,0.000,4876.000,8095.000,17.000,3335.000,7874.000,349.000,4.000,4351.000,6190.000,957.000,2.000,3736.000,6887.000,447.000,8.000,4038.000,6636.000,355.000,7.000,3758.000,6635.000,6.000,3280.000,4726.000,3257.000,15.000,3726.000,7552.000,0.000,22.000,3813.000,7315.000,0.000,18.000,4563.000,9197.000,20.000,3.000,77.000,40.000,22.000,0.000,1774.000,4760.000,7257.000,39.000,18.000,0.000,885.000,4093.000,8225.000,23.000,0.000,4631.000,8358.000,24.000,323.000,3526.000,6221.000,8.000,0.000,3645.000,6879.000,17.000,0.000,3810.000,6647.000,11.000,1469.000,3291.000,5965.000,21.000,7.000,15.000,21.000,9.000,365.000,3396.000,6574.000,5.000,3558.000,6523.000,233.000,97.000,2.000,387.000,3175.000,6860.000,46.000,6.000,,,,
1884577,35.94,828,2705313168,27053,Corcoran City,Corcoran,City,5629,5379,152,4951,29,35,186,0,0,26,3787,4030,88,3784,11,23,116,0,0,8,11.000,64.000,1947.000,2.000,856.000,2.000,0.000,0.000,0.000,2118.000,671.000,0.000,1.000,0.000,0.000,1847.000,883.000,0.000,0.000,3.000,0.000,358.000,1734.000,637.000,0.000,0.000,1.000,37.000,439.000,1728.000,645.000,10.000,6.000,2.000,0.000,53.000,149.000,1767.000,803.000,2.000,121.000,1529.000,1126.000,0.000,43.000,236.000,1628.000,781.000,3.000,2.000,2211.000,1152.000,0.000,0.000,0.000,14.000,2.000,4.000,2.000,0.000,2390.000,860.000,4.000,0.000,1376.000,775.000,0.000,1400.000,1141.000,75.000,1.000,1674.000,802.000,126.000,0.000,1436.000,931.000,96.000,2.000,1532.000,868.000,57.000,3.000,1377.000,941.000,2.000,1867.000,725.000,0.000,0.000,1583.000,953.000,0.000,2.000,1653.000,895.000,0.000,5.000,2168.000,1159.000,6.000,0.000,22.000,14.000,8.000,0.000,572.000,1948.000,840.000,12.000,9.000,0.000,401.000,2033.000,847.000,0.000,0.000,2232.000,1009.000,7.000,111.000,1814.000,589.000,2.000,0.000,2009.000,0.000,42.000,0.000,1851.000,634.000,4.000,243.000,1641.000,648.000,2.000,3.000,4.000,2.000,2.000,99.000,1607.000,752.000,1.000,1633.000,763.000,37.000,27.000,1.000,122.000,1470.000,844.000,13.000,1.000,,,,
1891683,34.95,845,2705340166,27053,Maple Grove City,Maple Grove,City,50360,61567,1545,52222,2927,300,4224,42,114,193,34873,45011,903,39460,1586,196,2692,24,52,98,84.000,424.000,17179.000,101.000,9587.000,19.000,15.000,0.000,0.000,20005.000,6594.000,0.000,26.000,0.000,0.000,16835.000,9126.000,0.000,0.000,19.000,0.000,1245.000,19139.000,2239.000,0.000,0.000,278.000,330.000,3813.000,15405.000,7579.000,17.000,75.000,18.000,10.000,443.000,1153.000,15791.000,8932.000,8.000,967.000,13410.000,11923.000,12.000,468.000,1888.000,14615.000,8521.000,19.000,33.000,19987.000,14833.000,3.000,2.000,9.000,157.000,10.000,59.000,26.000,0.000,23236.000,10434.000,1264.000,0.000,17765.000,11742.000,36.000,12434.000,14050.000,782.000,12.000,16251.000,9555.000,1427.000,7.000,13796.000,11100.000,921.000,14.000,14370.000,10639.000,696.000,15.000,13153.000,11239.000,23.000,18577.000,8437.000,0.000,38.000,15016.000,11306.000,0.000,25.000,14509.000,11095.000,774.000,17.000,18981.000,17231.000,25.000,5.000,188.000,131.000,60.000,0.000,5300.000,18869.000,12046.000,118.000,69.000,0.000,3244.000,18714.000,13471.000,0.000,0.000,19727.000,14451.000,55.000,1056.000,17163.000,8215.000,14.000,0.000,19260.000,0.000,637.000,0.000,15965.000,10187.000,25.000,3262.000,14423.000,8946.000,39.000,32.000,37.000,27.000,6.000,895.000,14451.000,10388.000,13.000,14532.000,10262.000,466.000,261.000,6.000,960.000,13322.000,11216.000,97.000,8.000,,,,
1902545,26.51,825,2705307966,27053,Brooklyn Park City,Brooklyn Park,City,67388,75781,4841,37948,19463,527,12056,40,243,663,47958,53799,2819,30492,11855,351,7771,29,131,351,75.000,460.000,13167.000,99.000,11496.000,14.000,20.000,0.000,0.000,15602.000,8956.000,0.000,24.000,0.000,1471.000,10073.000,12649.000,0.000,0.000,23.000,0.000,710.000,11858.000,11730.000,0.000,0.000,16.000,474.000,3239.000,11912.000,9315.000,17.000,206.000,27.000,16.000,524.000,1134.000,12044.000,10819.000,8.000,1012.000,10012.000,13469.000,10.000,582.000,1825.000,10666.000,10677.000,20.000,29.000,14484.000,17446.000,6.000,1.000,22.000,170.000,11.000,43.000,32.000,0.000,17107.000,13366.000,44.000,0.000,13315.000,16969.000,48.000,8537.000,14596.000,666.000,17.000,10929.000,11422.000,1375.000,12.000,9297.000,12527.000,919.000,8.000,9866.000,11900.000,813.000,9.000,8894.000,12496.000,14.000,13339.000,10260.000,0.000,26.000,9447.000,13863.000,0.000,33.000,9449.000,13857.000,0.000,32.000,13497.000,21816.000,45.000,5.000,249.000,89.000,55.000,0.000,4814.000,13275.000,17152.000,141.000,102.000,0.000,3562.000,13335.000,17472.000,0.000,0.000,13259.000,19916.000,108.000,1170.000,11537.000,9979.000,23.000,519.000,9826.000,12063.000,28.000,507.000,9586.000,12240.000,18.000,2348.000,9411.000,11034.000,51.000,28.000,59.000,48.000,22.000,874.000,9458.000,11757.000,14.000,9646.000,11620.000,499.000,309.000,19.000,920.000,8554.000,12578.000,123.000,13.000,,,,
2050698,10.86,61,2700322814,27003,Fridley City,Fridley,City,27449,27208,1976,19620,3401,435,1460,16,92,208,21270,20810,1123,16332,1875,313,987,12,60,108,54.000,226.000,5757.000,69.000,6292.000,8.000,0.000,574.000,0.000,4417.000,6950.000,0.000,13.000,0.000,0.000,4877.000,7117.000,0.000,0.000,25.000,0.000,358.000,4445.000,7114.000,0.000,0.000,18.000,238.000,1903.000,5248.000,4925.000,12.000,39.000,12.000,10.000,272.000,605.000,5454.000,5733.000,7.000,471.000,4416.000,7200.000,10.000,355.000,920.000,4671.000,5847.000,13.000,23.000,6073.000,8288.000,1.000,0.000,6.000,103.000,18.000,26.000,15.000,0.000,4984.000,8202.000,166.000,0.000,5450.000,8192.000,18.000,3495.000,6674.000,358.000,5.000,4411.000,5413.000,693.000,5.000,3726.000,6034.000,433.000,7.000,4042.000,5634.000,336.000,10.000,3659.000,5805.000,7.000,3532.000,4666.000,2070.000,19.000,3830.000,6519.000,0.000,26.000,3654.000,6194.000,348.000,15.000,5612.000,8374.000,26.000,1.000,164.000,50.000,31.000,0.000,2329.000,5140.000,6593.000,70.000,61.000,0.000,1304.000,4638.000,7617.000,40.000,0.000,5022.000,8148.000,35.000,405.000,3739.000,4827.000,9.000,0.000,4060.000,5276.000,22.000,0.000,4239.000,5383.000,17.000,1004.000,3822.000,4991.000,34.000,16.000,35.000,23.000,9.000,439.000,3890.000,5305.000,10.000,3908.000,5228.000,267.000,162.000,11.000,476.000,3456.000,5669.000,57.000,10.000,,,,
2046458,8.31,824,2705307948,27053,Brooklyn Center City,Brooklyn Center,City,29153,30104,2889,13815,8338,286,4429,17,85,245,21850,21802,1685,11983,5031,208,2697,12,55,131,33.000,196.000,4551.000,40.000,5760.000,10.000,3.000,0.000,0.000,5785.000,4486.000,0.000,19.000,0.000,0.000,3970.000,6256.000,0.000,0.000,17.000,0.000,763.000,3945.000,5515.000,0.000,0.000,12.000,231.000,1444.000,4223.000,4555.000,7.000,68.000,12.000,6.000,262.000,473.000,4369.000,5189.000,3.000,493.000,3558.000,6256.000,6.000,286.000,777.000,3794.000,5185.000,9.000,27.000,5047.000,8530.000,2.000,0.000,13.000,65.000,17.000,29.000,20.000,0.000,6144.000,6873.000,20.000,0.000,4490.000,8406.000,25.000,2713.000,6192.000,271.000,6.000,3332.000,5234.000,570.000,9.000,2871.000,5499.000,372.000,7.000,3061.000,5299.000,279.000,8.000,2760.000,5398.000,12.000,4380.000,4703.000,0.000,16.000,2780.000,6152.000,0.000,16.000,2948.000,5978.000,0.000,13.000,4215.000,8728.000,36.000,4.000,124.000,37.000,27.000,0.000,1790.000,3890.000,7248.000,74.000,66.000,0.000,1576.000,3958.000,7093.000,0.000,0.000,3503.000,8099.000,22.000,477.000,3504.000,4168.000,7.000,0.000,2960.000,5092.000,18.000,0.000,3142.000,4938.000,8.000,706.000,2793.000,4726.000,24.000,9.000,28.000,29.000,7.000,395.000,2798.000,4817.000,9.000,2826.000,4787.000,225.000,150.000,2.000,355.000,2487.000,5137.000,55.000,3.000,,,,
2043665,57.34,849,2705343000,27053,Minneapolis City,Minneapolis,City,382492,382578,40073,230650,74850,8257,23864,258,1098,3528,298345,305374,26020,203714,49220,5948,17574,214,678,2006,1473.000,2267.000,38539.000,735.000,110855.000,154.000,134.000,13094.000,0.000,29591.000,107852.000,0.000,219.000,12947.000,5339.000,22650.000,103064.000,0.000,0.000,573.000,1676.000,3230.000,20696.000,107666.000,0.000,726.000,1625.000,10978.000,18823.000,34375.000,88874.000,171.000,1568.000,329.000,110.000,16135.000,7026.000,37952.000,88604.000,125.000,9249.000,32818.000,106397.000,336.000,15397.000,10695.000,32841.000,85910.000,265.000,455.000,41713.000,156613.000,58.000,71.000,165.000,1734.000,119.000,562.000,223.000,0.000,34917.000,139417.000,4088.000,0.000,35644.000,139543.000,493.000,22923.000,118076.999,5278.000,126.000,29478.000,101758.000,14306.000,119.000,24410.000,104698.000,6269.000,163.000,26282.000,107484.000,5547.000,123.000,24556.000,101053.000,133.000,22100.000,91608.000,28893.000,183.000,24802.000,114217.000,2609.000,343.000,24057.000,114108.000,2047.000,378.000,34961.000,169273.000,573.000,100.000,1852.000,812.000,290.000,0.000,22444.000,39374.000,141924.999,1236.000,532.000,0.000,11879.000,31483.000,152268.000,384.000,3055.000,32675.000,147484.000,537.000,3962.000,23075.000,104258.000,165.000,0.000,26003.000,107611.000,336.000,1367.000,25057.000,105404.000,332.000,13840.000,22905.000,100656.000,925.000,123.000,449.000,598.000,154.000,4764.000,23760.000,104213.000,192.000,24808.000,98672.000,6764.000,1971.000,140.000,4710.000,21717.000,105403.000,846.000,255.000,,,,
